,campany_name,rating,headquarter,headquarter.1,num_of_locations,pub_or_pri,how long since founded,employees,reviews,salaries,jobs,interviews,Country,continent,latitude,longitude
827,Geojit Financial Services ,3.9,Kochi + 108 more,Kochi,108,Public,35,1k-5k Employees (India),383000,1800,1,10,India,Asia,20.593684,78.96288
828,Baxter International ,4.2,"Deerfield,Illinois + 25 more",Deerfield,26,Private,26,1k-5k Employees (India),587000,2100,4,9,United States of America,Americas,,
829,Levi Strauss & Co. ,4.5,"San Francisco,California + 64 more",San Francisco,65,Public,169,1k-5k Employees (India),384000,1400,32,6,United States of America,Americas,,
830,MattsenKumar ,3.6,"Woodburn,Oregon + 7 more",Woodburn,8,Private,12,1k-5k Employees (India),382000,1800,16,18,United States of America,Americas,,
831,Voltech ,3.7,"Chennai,Tamil Nadu + 26 more",Chennai,27,Private,34,501-1k Employees (India),382000,1600,0,11,India,Asia,20.593684,78.96288
832,Avalon Technologies ,4.1,"Chennai,Tamil Nadu + 9 more",Chennai,10,Private,20,501-1k Employees (India),382000,2000,4,15,India,Asia,20.593684,78.96288
833,Franklin Templeton Investments ,4.3,San Mateo + 14 more,San,14,Private,75,1k-5k Employees (India),546000,2700,67,3,Mali,Africa,17.570692,-3.996166
834,PayPal ,4.2,"San Jose,California + 7 more",San Jose,8,Private,24,5k-10k Employees (India),379000,4000,11,83,United States of America,Americas,,
835,Fleetguard Filters ,4.0,"Pune,Maharashtra + 51 more",Pune,52,Private,35,50k-1 Lakh Employees (India),383000,1500,1,11,India,Asia,20.593684,78.96288
836,Prodapt Solutions ,3.8,"Chennai,Tamil Nadu + 6 more",Chennai,7,Private,23,1k-5k Employees (India),378000,3600,28,21,India,Asia,20.593684,78.96288
837,Target ,4.4,"Minneapolis,Minnesota + 8 more",Minneapolis,9,Private,120,1k-5k Employees (India),378000,2800,29,34,United States of America,Americas,,
838,Ups Logistics ,4.2,"Atlanta,Georgia + 26 more",Atlanta,27,Private,115,1k-5k Employees (India),454000,2000,1,14,United States of America,Americas,,
839,Cloudnine Hospital ,4.0,"Bangalore,Karnataka + 19 more",Bangalore,20,JV,15,1k-5k Employees (India),377000,1300,13,16,India,Asia,20.593684,78.96288
840,Netscribes ,3.4,"New York,New York + 3 more",New York,4,Private,22,1k-5k Employees (India),377000,2000,71,33,United States of America,Americas,,
841,PUMA ,4.3,"Herzogenaurach,Herzogenaurach + 60 more",Herzogenaurach,61,Private,74,1k-5k Employees (India),377000,1600,52,15,Germany,Europe,51.165691,10.451526
842,K Raheja Corp ,4.3,Mumbai + 15 more,Mumbai,15,Private,66,1k-5k Employees (India),2300,1400,27,12,India,Asia,20.593684,78.96288
843,Essel Propack ,4.1,"Mumbai,Maharashtra + 22 more",Mumbai,23,Public,38,1k-5k Employees (India),376000,1200,0,3,India,Asia,20.593684,78.96288
844,Genesys International Corporation ,3.9,"Mumbai,Maharashtra + 10 more",Mumbai,11,Public,27,1k-5k Employees (India),374000,2200,2,6,India,Asia,20.593684,78.96288
845,Lionbridge Technologies ,3.9,"Beijing,Beijing Shi + 11 more",Beijing,12,Private,26,1k-5k Employees (India),374000,2800,17,16,China,Asia,35.86166,104.195397
846,Wockhardt Hospital ,4.2,"Mumbai,Maharashtra + 15 more",Mumbai,16,Private,49,1k-5k Employees (India),374000,1300,10,4,India,Asia,20.593684,78.96288
847,Intel ,4.4,"Santa Clara,California + 18 more",Santa Clara,19,Private,54,10k-50k Employees (India),378000,4500,191,89,Cuba,Americas,21.521757,-77.781167
848,Sayaji Hotels ,4.3,"Indore,Madhya Pradesh + 21 more",Indore,22,Public,35,1k-5k Employees (India),373000,870000,0,5,India,Asia,20.593684,78.96288
849,Fusion BPO Services ,3.5,"Draper,Utah + 10 more",Draper,11,Private,18,1k-5k Employees (India),372000,1700,1,25,United States of America,Americas,,
850,CNH Industrial ,4.2,London + 42 more,London,42,Public,9,1k-5k Employees (India),776000,1800,129,18,United Kingdom,Europe,55.378051,-3.435973
851,Vadilal Industries ,4.3,"Ahmedabad,Gujrat + 53 more",Ahmedabad,54,Public,115,501-1k Employees (India),374000,1200,15,11,India,Asia,20.593684,78.96288
852,Centre for Development of Advanced Computing ,3.7,"Pune,Maharashtra + 20 more",Pune,21,Private,34,1k-5k Employees (India),371000,2600,0,14,India,Asia,20.593684,78.96288
853,Travel Food Services ,4.0,"Mumbai,Maharashtra + 20 more",Mumbai,21,Private,13,1k-5k Employees (India),371000,1200,3,8,India,Asia,20.593684,78.96288
854,Rohan Builders ,4.2,"Pune,Maharashtra + 31 more",Pune,32,Private,29,1k-5k Employees (India),370000,1400,21,14,India,Asia,20.593684,78.96288
855,Temenos ,3.4,"Geneva,Geneva + 5 more",Geneva,6,Private,29,1k-5k Employees (India),370000,5400,65,28,Switzerland,Europe,46.818188,8.227512
856,Labcorp Drug Development ,4.2,"Wilmington,North Carolina + 6 more",Wilmington,7,,40,5k-10k Employees (India),369000,2800,135,37,United States of America,Americas,,
857,Primus Global Technologies ,4.5,"Irving,Texas + 24 more",Irving,25,Private,20,11-50 Employees (India),368000,1500,226,7,United States of America,Americas,,
858,Cairn Energy ,4.1,"Edinburgh,Edinburgh + 19 more",Edinburgh,20,Private,41,1k-5k Employees (India),368000,2700,0,21,United Kingdom,Europe,55.378051,-3.435973
859,Al Turki Enterprises ,3.5,Muscat + 7 more,Muscat,7,Private,17,501-1k Employees (India),368000,1000,0,9,Oman,Asia,21.512583,55.923255
860,Novotel Hotels ,4.3,Issy Les Moulineaux + 24 more,Issy-les-Moulineaux,24,Private,55,1k-5k Employees (India),368000,1100,0,9,France,Europe,46.227638,2.213749
861,NetCracker ,3.8,Waltham + 5 more,Waltham,5,Private,29,1k-5k Employees (India),368000,4700,109,36,United States of America,Americas,,
862,Gestamp ,3.8,"Madrid,Community Of Madrid + 5 more",Madrid,6,Private,25,501-1k Employees (India),367000,1600,1,6,Spain,Europe,40.463667,-3.74922
863,IBS Software Services ,3.8,"Thiruvananthapuram,Kerala + 9 more",Thiruvananthapuram,10,Private,25,1k-5k Employees (India),367000,4200,131,27,India,Asia,20.593684,78.96288
864,Lowe's ,4.3,Mooresville + 4 more,Mooresville,4,Private,76,1k-5k Employees (India),366000,4400,47,33,United States of America,Americas,,
865,Jaro Education ,2.9,"Mumbai,Maharashtra + 15 more",Mumbai,16,Private,13,501-1k Employees (India),366000,1300,83,58,India,Asia,20.593684,78.96288
866,Ess Kay Fincorp ,4.0,Jaipur + 103 more,Jaipur,103,Public,28,5k-10k Employees (India),366000,1400,0,12,India,Asia,20.593684,78.96288
867,Gionee ,4.1,Shenzhen + 101 more,Shenzhen,101,Private,9,501-1k Employees (India),366000,377000,0,0,China,Asia,35.86166,104.195397
868,Financial Software & Systems ,4.0,Chennai + 21 more,Chennai,21,Private,31,1k-5k Employees (India),365000,3300,58,10,India,Asia,20.593684,78.96288
869,Leighton Contractors ,4.4,"Mumbai,Maharashtra + 17 more",Mumbai,18,Private,24,501-1k Employees (India),365000,681000,4,4,India,Asia,20.593684,78.96288
870,TÜV NORD ,3.8,"Mumbai,Maharashtra + 35 more",Mumbai,36,Private,33,201-500 Employees (India),365000,2200,14,23,India,Asia,20.593684,78.96288
871,Qatar Airways ,4.2,Doha + 15 more,Doha,15,Private,29,5k-10k Employees (India),364000,1400,0,25,Qatar,Asia,25.354826,51.183884
872,NRB Bearings ,4.2,"Mumbai,Maharashtra + 16 more",Mumbai,17,Public,57,1k-5k Employees (India),364000,1400,5,11,India,Asia,20.593684,78.96288
873,Toyo Engineeering ,3.8,Mumbai + 24 more,Mumbai,24,Private,46,1k-5k Employees (India),364000,2100,11,13,India,Asia,20.593684,78.96288
874,Rupeek ,3.9,"Bangalore,Karnataka + 32 more",Bangalore,33,Private,7,1k-5k Employees (India),364000,2100,123,24,India,Asia,20.593684,78.96288
875,Wuerth  ,4.0,"Mumbai,Maharashtra + 45 more",Mumbai,46,Private,28,1k-5k Employees (India),363000,1600,10,12,India,Asia,20.593684,78.96288
876,MAHLE Behr India ,4.2,Pune + 7 more,Pune,7,JV,25,1k-5k Employees (India),363000,1100,0,2,India,Asia,20.593684,78.96288
877,Transport Corporation Of India ,4.2,Gurgaon + 59 more,Gurgaon,59,Public,64,5k-10k Employees (India),716000,1400,1,10,India,Asia,20.593684,78.96288
878,Hilton ,4.3,"Mclean,Virginia + 26 more",Mclean,27,Private,103,1k-5k Employees (India),471000,1200,75,5,United States of America,Americas,,
879,HighRadius ,3.4,"Houston,Texas + 2 more",Houston,3,Private,16,1k-5k Employees (India),362000,3000,60,42,United States of America,Americas,,
880,VirtusaPolaris ,3.4,"Colombo,Colombo + 8 more",Colombo,9,Private,26,1k-5k Employees (India),362000,3500,5,8,Sri Lanka,Asia,7.873054,80.771797
881,Credence Resource Management ,3.7,"Dallas,Texas + 1 more",Dallas,2,LLC,8,501-1k Employees (India),362000,1700,8,13,United States of America,Americas,,
882,India Shelter Finance Corporation ,3.9,"Gurgaon,Haryana + 93 more",Gurgaon,94,Private,12,1k-5k Employees (India),362000,1600,2,12,India,Asia,20.593684,78.96288
883,PharmEasy ,3.6,"Mumbai,Maharashtra + 29 more",Mumbai,30,Private,7,1k-5k Employees (India),1600,2300,110,30,India,Asia,20.593684,78.96288
884,Precision Infomatic M ,4.0,"Chennai,Tamil Nadu + 49 more",Chennai,50,Private,26,1k-5k Employees (India),361000,2000,0,13,India,Asia,20.593684,78.96288
885,T-Systems ,4.0,Frankfurt + 5 more,Frankfurt,5,Public,22,1k-5k Employees (India),360000,3500,0,27,Germany,Europe,51.165691,10.451526
886,Neeyamo Enterprise Solutions ,3.8,"Chennai,Tamil Nadu + 5 more",Chennai,6,Private,13,1k-5k Employees (India),360000,2400,3,16,India,Asia,20.593684,78.96288
887,V-Trans ,4.2,"Mumbai,Maharashtra + 57 more",Mumbai,58,Public,64,1k-5k Employees (India),359000,1400,1,9,India,Asia,20.593684,78.96288
888,Sulekha.com ,3.9,"Chennai,Tamil Nadu + 19 more",Chennai,20,Private,15,201-500 Employees (India),357000,1800,43,2,India,Asia,20.593684,78.96288
889,Tata Consumer Products ,4.1,"Mumbai,Maharashtra + 80 more",Mumbai,81,Public,60,1k-5k Employees (India),444000,2000,19,19,India,Asia,20.593684,78.96288
890,Goodyear ,3.9,"Akron,OH + 43 more",Akron,44,Public,124,501-1k Employees (India),360000,1700,32,15,United States of America,Americas,,
891,Offshore Infrastructures ,4.0,"Mumbai,Maharashtra + 27 more",Mumbai,28,Private,27,501-1k Employees (India),356000,1800,0,3,India,Asia,20.593684,78.96288
892,Vijay Sales ,4.3,"Mumbai,Maharashtra + 30 more",Mumbai,31,Private,55,1k-5k Employees (India),356000,1500,5,18,India,Asia,20.593684,78.96288
893,Visteon ,3.7,"Detroit,Michigan + 10 more",Detroit,11,Private,22,1k-5k Employees (India),355000,2700,274,18,United States of America,Americas,,
894,Times Internet ,4.0,"Gurgaon,Haryana + 20 more",Gurgaon,21,Public,23,5k-10k Employees (India),410000,3700,113,31,India,Asia,20.593684,78.96288
895,Hella ,4.1,"Lippstadt,Lippstadt + 18 more",Lippstadt,19,Private,123,1k-5k Employees (India),354000,1800,0,8,Germany,Europe,51.165691,10.451526
896,Riya Travel ,3.8,"Mumbai,Maharashtra + 32 more",Mumbai,33,Private,42,1k-5k Employees (India),353000,1700,8,6,India,Asia,20.593684,78.96288
897,Spoton Logistics ,4.4,"Bangalore,Karnataka + 63 more",Bangalore,64,Private,10,1k-5k Employees (India),353000,1300,0,14,India,Asia,20.593684,78.96288
898,Ramco Systems ,3.7,Chennai + 12 more,Chennai,12,Public,25,1k-5k Employees (India),353000,3600,72,16,India,Asia,20.593684,78.96288
899,Reliance Infrastructure ,3.9,"Mumbai,Maharashtra + 41 more",Mumbai,42,Public,93,5k-10k Employees (India),353000,1600,0,13,India,Asia,20.593684,78.96288
900,Bharti AXA General Insurance ,4.1,Mumbai + 73 more,Mumbai,73,JV,14,1k-5k Employees (India),353000,1900,1,6,India,Asia,20.593684,78.96288
901,Tata Power Delhi Distribution ,4.1,"New Delhi,Delhi + 30 more",New Delhi,31,Private,20,1k-5k Employees (India),352000,1800,4,11,India,Asia,20.593684,78.96288
902,Astral Adhesives ,4.1,"Ahmedabad,Gujarat + 63 more",Ahmedabad,64,Private,35,1k-5k Employees (India),352000,1400,20,8,India,Asia,20.593684,78.96288
903,Welspun Group ,4.0,Mumbai + 36 more,Mumbai,36,Public,37,10k-50k Employees (India),1700,2100,0,25,India,Asia,20.593684,78.96288
904,Panasonic Life Solutions  ,4.2,Mumbai + 54 more,Mumbai,54,,59,1k-5k Employees (India),351000,2100,0,16,India,Asia,20.593684,78.96288
905,Yokogawa ,3.6,"Tokyo,Tokyo-to + 17 more",Tokyo,18,Private,107,1k-5k Employees (India),350000,2600,0,14,Japan,Asia,36.204824,138.252924
906,Orient Technologies ,3.6,"Chiyoda-ku,Tokyo-to + 29 more",Chiyoda-ku,30,Private,30,1k-5k Employees (India),350000,2000,4,7,Japan,Asia,36.204824,138.252924
907,Tavant Technologies ,4.2,"Santa Clara,California + 6 more",Santa Clara,7,Private,22,1k-5k Employees (India),350000,4100,11,16,Cuba,Americas,21.521757,-77.781167
908,Fiat India Automobiles ,4.1,"Mumbai,Maharashtra + 16 more",Mumbai,17,Private,25,1k-5k Employees (India),349000,1400,0,13,India,Asia,20.593684,78.96288
909,Medley Pharmaceuticals ,4.2,"Mumbai,Maharashtra + 49 more",Mumbai,50,Public,53,1k-5k Employees (India),349000,1400,9,12,India,Asia,20.593684,78.96288
910,Mahendra’s Institute ,3.3,"Lucknow,Uttar Pradesh + 84 more",Lucknow,85,Private,14,201-500 Employees (India),349000,995000,4,4,India,Asia,20.593684,78.96288
911,Scientific Publishing Services ,3.9,Chennai + 2 more,Chennai,2,Private,27,1k-5k Employees (India),348000,1600,0,9,India,Asia,20.593684,78.96288
912,Housing.com ,4.2,"Gurgaon,Haryana + 21 more",Gurgaon,22,Private,10,1k-5k Employees (India),348000,1800,21,36,India,Asia,20.593684,78.96288
913,Hinduja Group ,3.9,Mumbai + 52 more,Mumbai,52,Public,108,1 Lakh+ Employees (India),17200,2400,43,22,India,Asia,20.593684,78.96288
914,Webhelp ,4.1,Paris + 8 more,Paris,8,Private,22,1k-5k Employees (India),347000,2100,48,19,France,Europe,46.227638,2.213749
915,Genus Power Infrastructures ,3.9,"Jaipur,Rajasthan + 31 more",Jaipur,32,Public,30,1k-5k Employees (India),347000,1800,2,13,India,Asia,20.593684,78.96288
916,MAS Financial Services  ,3.7,"Ahmedabad,Gujarat + 66 more",Ahmedabad,67,Public,27,1k-5k Employees (India),347000,1200,39,11,India,Asia,20.593684,78.96288
917,Aditya Birla Finance ,4.1,"Mumbai,Maharashtra + 59 more",Mumbai,60,Private,10,10k-50k Employees (India),345000,2700,22,6,India,Asia,20.593684,78.96288
918,Atkins ,4.2,London + 14 more,London,14,Private,84,1k-5k Employees (India),345000,8400,7,24,United Kingdom,Europe,55.378051,-3.435973
919,Adani Enterprises ,4.1,"Mumbai,Maharashtra + 40 more",Mumbai,41,Public,34,1k-5k Employees (India),345000,2100,24,18,India,Asia,20.593684,78.96288
920,TIAA Global Business Services ,4.4,"Manhattan,New York + 3 more",Manhattan,4,Private,104,1k-5k Employees (India),344000,3400,155,22,United States of America,Americas,,
921,Kunal Structure ,3.7,"Ahmedabad,Gujarat + 23 more",Ahmedabad,24,Private,16,201-500 Employees (India),344000,972000,2,9,India,Asia,20.593684,78.96288
922,Lear Corporation ,4.1,Southfield + 11 more,Southfield,11,Public,105,1k-5k Employees (India),344000,2100,2,6,United States of America,Americas,,
923,SBFC ,3.7,"Mumbai,Maharashtra + 98 more",Mumbai,99,Private,5,1k-5k Employees (India),344000,1800,13,22,India,Asia,20.593684,78.96288
924,Icon Plc ,4.4,Dublin + 7 more,Dublin,7,,32,1k-5k Employees (India),367000,1000,93,15,Ireland,Europe,53.41291,-8.24389
925,PeopleStrong ,3.9,"Gurgaon,Haryana + 16 more",Gurgaon,17,Private,16,1k-5k Employees (India),343000,2000,248,17,India,Asia,20.593684,78.96288
926,Bitwise Solutions ,4.5,"Schaumburg,Chicago",Schaumburg,#VALUE!,Private,26,501-1k Employees (India),343000,2300,4,13,United States of America,Americas,,
927,KGISL ,3.6,"Coimbatore,Tamil Nadu + 4 more",Coimbatore,5,Private,26,501-1k Employees (India),342000,3000,43,22,India,Asia,20.593684,78.96288
928,ValueMomentum ,3.8,"Piscataway,New Jersey + 5 more",Piscataway,6,Private,22,1k-5k Employees (India),342000,4300,55,21,United States of America,Americas,,
929,TVS Electronics ,4.0,"Chennai,Tamil Nadu + 46 more",Chennai,47,Public,36,1k-5k Employees (India),341000,1300,7,11,India,Asia,20.593684,78.96288
930,Infinx ,3.8,"Mumbai,Maharashtra + 15 more",Mumbai,16,Private,10,1k-5k Employees (India),341000,1500,0,29,India,Asia,20.593684,78.96288
931,Sutherland Healthcare Solutions ,3.9,"Clifton,New Jersey + 7 more",Clifton,8,Private,20,1k-5k Employees (India),340000,2000,0,6,United States of America,Americas,,
932,Nissin Brake ,4.0,Nagano + 12 more,Nagano,12,Private,15,201-500 Employees (India),340000,1200,0,9,Japan,Asia,36.204824,138.252924
933,Evolve Technologies & Services ,4.0,"Pune,Maharashtra + 46 more",Pune,47,Private,31,201-500 Employees (India),339000,1200,1,3,India,Asia,20.593684,78.96288
934,Craftsman Automation ,3.9,"Coimbatore,Tamil Nadu + 15 more",Coimbatore,16,Private,36,1k-5k Employees (India),338000,1900,0,7,India,Asia,20.593684,78.96288
935,Kellogg ,4.4,"Battle Creek,Michigan + 49 more",Battle Creek,50,Private,116,1k-5k Employees (India),336000,1300,0,7,United States of America,Americas,,
936,Nykaa ,3.5,"Mumbai,Maharashtra + 34 more",Mumbai,35,Public,10,1k-5k Employees (India),336000,2400,82,27,India,Asia,20.593684,78.96288
937,Exicom ,3.9,"Gurgaon,Haryana + 21 more",Gurgaon,22,Public,28,501-1k Employees (India),335000,1600,10,17,India,Asia,20.593684,78.96288
938,Sintex-bapl ,3.9,Pune + 37 more,Pune,37,Public,15,501-1k Employees (India),335000,1800,0,13,India,Asia,20.593684,78.96288
939,Keihin Fie ,4.3,"Pune,Maharashtra + 13 more",Pune,14,Private,66,1k-5k Employees (India),335000,7400,0,3,India,Asia,20.593684,78.96288
940,IRB Infrastructure ,4.2,"Mumbai,Maharashtra + 42 more",Mumbai,43,Public,24,5k-10k Employees (India),335000,1000,14,4,India,Asia,20.593684,78.96288
941,Hapag-Lloyd ,4.2,Hamburg + 7 more,Hamburg,7,Private,175,1k-5k Employees (India),334000,1700,1,7,Germany,Europe,51.165691,10.451526
942,Bharat Serums and Vaccines ,4.0,"Mumbai,Maharashtra + 34 more",Mumbai,35,Private,51,1k-5k Employees (India),334000,1300,16,11,India,Asia,20.593684,78.96288
943,BharatMatrimony.com ,3.5,"Chennai,Tamil Nadu + 29 more",Chennai,30,Private,25,1k-5k Employees (Global),334000,1600,0,9,India,Asia,20.593684,78.96288
944,Livpure ,4.1,"Gurgaon,Haryana + 61 more",Gurgaon,62,Private,12,1k-5k Employees (India),334000,1300,0,5,India,Asia,20.593684,78.96288
945,Molex ,3.9,"Lisle,Illinois + 8 more",Lisle,9,Private,84,1k-5k Employees (India),333000,2000,0,17,United States of America,Americas,,
946,Adidas ,4.3,"Herzogenaurach,Bavaria + 48 more",Herzogenaurach,49,Public,73,1k-5k Employees (India),333000,1900,331,18,Germany,Europe,51.165691,10.451526
947,Forbes Marshall ,4.2,"Pune,Maharashtra + 18 more",Pune,19,Private,97,1k-5k Employees (India),333000,1700,14,14,India,Asia,20.593684,78.96288
948,Magna International ,3.8,Aurora + 12 more,Aurora,12,Public,65,5k-10k Employees (India),333000,2000,0,9,United States of America,Americas,,
949,Medtronic ,3.9,"Mumbai,Maharashtra + 32 more",Mumbai,33,Private,43,1k-5k Employees (India),340000,2400,114,23,India,Asia,20.593684,78.96288
950,Sterling Holiday Resort ,3.9,"Chennai,Tamil Nadu + 45 more",Chennai,46,Public,36,1k-5k Employees (India),332000,1300,0,4,India,Asia,20.593684,78.96288
951,Updater Services ,3.9,"Chennai,Tamil Nadu + 42 more",Chennai,43,Private,37,50k-1 Lakh Employees (India),332000,1600,22,11,India,Asia,20.593684,78.96288
952,Csc E Governance Services ,4.1,"Delhi,NCT + 109 more",Delhi,110,Public,13,201-500 Employees (India),332000,1500,0,11,India,Asia,20.593684,78.96288
953,GTL Infrastructure ,4.6,"Mumbai,Maharashtra + 40 more",Mumbai,41,Public,18,1k-5k Employees (India),332000,795000,0,3,India,Asia,20.593684,78.96288
954,Tecnimont ,3.9,"Mumbai,Maharashtra + 18 more",Mumbai,19,Private,17,1k-5k Employees (India),332000,1600,44,7,India,Asia,20.593684,78.96288
955,EaseMyTrip.com ,4.4,"Delhi,NCT + 7 more",Delhi,8,Public,14,201-500 Employees (India),332000,746000,37,2,India,Asia,20.593684,78.96288
956,Maharashtra State Electricity Distribution Company ,4.5,"Mumbai,Maharashtra + 61 more",Mumbai,62,Private,17,50k-1 Lakh Employees (India),331000,990000,0,6,India,Asia,20.593684,78.96288
957,Colt Technology Services ,4.3,"London,England + 4 more",London,5,Private,30,1k-5k Employees (India),331000,2400,12,9,United Kingdom,Europe,55.378051,-3.435973
958,Pamac Finserve ,3.7,"Mumbai,Maharashtra + 44 more",Mumbai,45,Private,27,501-1k Employees (India),330000,1100,0,10,India,Asia,20.593684,78.96288
959,First Flight Couriers ,3.9,"Mumbai,Maharashtra + 73 more",Mumbai,74,Private,34,1k-5k Employees (India),330000,753000,1,2,India,Asia,20.593684,78.96288
960,PPG Asian Paints ,4.0,"Mumbai,Maharashtra + 45 more",Mumbai,46,Private,25,501-1k Employees (India),330000,1600,5,12,India,Asia,20.593684,78.96288
961,Stock Holding Corporation of India ,3.8,"Mumbai,Maharashtra + 78 more",Mumbai,79,Public,36,201-500 Employees (India),329000,1500,8,6,India,Asia,20.593684,78.96288
962,Centaur Pharmaceuticals ,4.0,"Mumbai,Maharashtra + 38 more",Mumbai,39,Private,44,1k-5k Employees (India),329000,1600,1,11,India,Asia,20.593684,78.96288
963,Khazana Jewellery ,4.0,"Chennai,Tamil Nadu + 42 more",Chennai,43,Private,33,501-1k Employees (India),329000,944000,11,8,India,Asia,20.593684,78.96288
964,Balkrishna Industries ,4.3,"Mumbai,Maharashtra + 8 more",Mumbai,9,Public,35,1k-5k Employees (India),327000,1400,5,6,India,Asia,20.593684,78.96288
965,Ziqitza Health Care ,4.2,"Mumbai,Maharashtra + 38 more",Mumbai,39,Public,17,5k-10k Employees (India),327000,952000,12,12,India,Asia,20.593684,78.96288
966,Onward Technologies Inc ,3.3,"Eindhoven,North Brabant + 25 more",Eindhoven,26,Public,31,201-500 Employees (India),327000,2700,120,21,Netherlands,Europe,52.132633,5.291266
967,Almarai ,4.5,"Riyadh,Central Province + 24 more",Riyadh,25,Private,45,501-1k Employees (India),325000,523000,0,1,Saudi Arabia,Asia,23.885942,45.079162
968,ACTE ,4.8,"Chennai,Tamil Nadu + 9 more",Chennai,10,,11,1-10 Employees (India),325000,12000,0,1,India,Asia,20.593684,78.96288
969,Kaya Skin Clinic ,4.0,"Mumbai,Maharashtra + 34 more",Mumbai,35,Public,19,1k-5k Employees (India),324000,889000,21,7,India,Asia,20.593684,78.96288
970,Cigniti Technologies ,4.0,"Irving,Texas + 4 more",Irving,5,Public,24,1k-5k Employees (India),324000,4100,110,24,United States of America,Americas,,
971,Kantar IMRB ,3.7,"Mumbai,Maharashtra + 24 more",Mumbai,25,Private,52,1 Lakh+ Employees (India),323000,905000,0,2,India,Asia,20.593684,78.96288
972,Patel Engineering ,4.0,"Mumbai,Maharashtra + 36 more",Mumbai,37,Public,73,1k-5k Employees (India),323000,1400,4,16,India,Asia,20.593684,78.96288
973,Pristyn Care ,4.2,"Delhi,NCT + 16 more",Delhi,17,Private,4,1k-5k Employees (India),323000,1400,160,9,India,Asia,20.593684,78.96288
974,Thermo Fisher Scientific ,4.1,"Waltham,Massachusetts + 22 more",Waltham,23,Private,66,1k-5k Employees (India),339000,2600,25,15,United States of America,Americas,,
975,BMC Software ,4.5,"Houston,Texas + 14 more",Houston,15,Private,42,1k-5k Employees (India),322000,2600,140,14,United States of America,Americas,,
976,Kantar ,3.7,"London,London + 23 more",London,24,Private,14,5k-10k Employees (India),962000,3600,8,24,United Kingdom,Europe,55.378051,-3.435973
977,Gandhi Automations ,4.1,"Mumbai,Maharashtra + 15 more",Mumbai,16,Private,26,501-1k Employees (India),321000,817000,7,15,India,Asia,20.593684,78.96288
978,Xceedance ,3.9,"Boston,Massachusetts + 6 more",Boston,7,Private,9,1k-5k Employees (India),320000,2700,70,30,United States of America,Americas,,
979,Salcomp Manufacturing ,4.2,Salo + 7 more,Salo,7,Private,16,1k-5k Employees (India),320000,1700,2,19,Finland,Europe,61.92411,25.748151
980,Jaypee Cement ,4.1,"Solan,Himachal Pradesh + 65 more",Solan,66,Private,26,1k-5k Employees (India),320000,864000,0,9,India,Asia,20.593684,78.96288
981,Bunge India ,4.0,"Chesterfield,Missouri + 35 more",Chesterfield,36,Private,22,1k-5k Employees (India),320000,1600,25,16,United States of America,Americas,,
982,ERA Group ,3.3,"Mumbai,Maharashtra + 36 more",Mumbai,37,Public,32,1k-5k Employees (India),320000,499000,0,2,India,Asia,20.593684,78.96288
983,BankBazaar ,3.6,"Chennai,Tamil Nadu + 8 more",Chennai,9,Private,14,501-1k Employees (India),340000,2300,38,15,India,Asia,20.593684,78.96288
984,Amadeus ,4.1,Madrid + 13 more,Madrid,13,Private,35,501-1k Employees (India),319000,3900,2,35,Spain,Europe,40.463667,-3.74922
985,Allied Digital Services ,3.6,"Mumbai,Maharashtra + 26 more",Mumbai,27,Public,27,1k-5k Employees (India),319000,1500,0,13,India,Asia,20.593684,78.96288
986,GlobalData ,3.9,London + 4 more,London,4,Private,38,1k-5k Employees (India),319000,2500,24,12,United Kingdom,Europe,55.378051,-3.435973
987,TTK Healthcare ,4.3,"Chennai,Tamil Nadu + 59 more",Chennai,60,Public,94,1k-5k Employees (India),317000,1100,7,6,India,Asia,20.593684,78.96288
988,Bharat Gears ,4.1,"Mumbai,Maharashtra + 15 more",Mumbai,16,Public,50,1k-5k Employees (India),317000,1500,0,12,India,Asia,20.593684,78.96288
989,Maveric Systems ,3.8,"Chennai,Tamil Nadu + 5 more",Chennai,6,Public,22,1k-5k Employees (India),317000,4200,144,34,India,Asia,20.593684,78.96288
990,Dr. Batras' Positive Health Clinic ,3.5,Mumbai + 75 more,Mumbai,75,Private,40,201-500 Employees (India),317000,899000,17,5,India,Asia,20.593684,78.96288
991,Nomura Holdings ,4.0,"Mumbai,Maharashtra + 6 more",Mumbai,7,Public,13,1k-5k Employees (India),341000,3800,26,33,India,Asia,20.593684,78.96288
992,Pace Setters Business Solutions ,3.6,Mumbai + 13 more,Mumbai,13,,16,201-500 Employees (India),316000,1000,0,7,India,Asia,20.593684,78.96288
993,Hexagon Nutrition ,4.2,"Mumbai,Maharashtra + 25 more",Mumbai,26,Private,29,501-1k Employees (India),316000,677000,2,5,India,Asia,20.593684,78.96288
994,J K Fenner ,3.7,"Chennai,Tamil Nadu + 29 more",Chennai,30,Private,35,501-1k Employees (India),316000,1200,0,10,India,Asia,20.593684,78.96288
995,Doosan Power Systems ,4.0,Crawley + 24 more,Crawley,24,Private,12,501-1k Employees (India),316000,1800,0,14,United Kingdom,Europe,55.378051,-3.435973
996,Sanghi Industries ,3.8,"Ahmedabad,Gujarat + 19 more",Ahmedabad,20,Public,37,201-500 Employees (India),316000,1700,0,29,India,Asia,20.593684,78.96288
